"policy","policy_type","reward_metric","reward_value","mean_realized_reward","mean_p_accept","accepted_rate","recommend_ooh_rate","expected_accepted_burden","burden_if_accepted","equity_service_gap","equity_gap","regret"
"MIN_BURDEN_VISITED_ADL","static","mean_expected_reward","0.03882087783901311","","0.03065738533518133","","0.8403980099502487","0.010109476172107671","","-0.00024827863008335116","",""
"ORACLE_EXPECTED_REWARD","static","mean_expected_reward","0.03882087783901311","","0.03065738533518133","","0.8403980099502487","0.010109476172107671","","-0.00024827863008335116","",""
"HIGHEST_PREDICTED_ACCEPTANCE","static","mean_expected_reward","0.03875410346445186","","0.03065738533518133","","0.8403980099502487","0.010109476172107671","","-0.00024827863008335116","",""
"LOWEST_BURDEN_ELIGIBLE","static","mean_expected_reward","0.03875410346445186","","0.03065738533518133","","0.8403980099502487","0.010109476172107671","","-0.00024827863008335116","",""
"SCORE_HEURISTIC","static","mean_expected_reward","0.03875410346445186","","0.03065738533518133","","0.8403980099502487","0.010109476172107671","","-0.00024827863008335116","",""
"ACTIVITY_PRIORITY_RULE","static","mean_expected_reward","0.033349438884805425","","0.029771947145985366","","0.8403980099502487","0.025132121608373376","","-9.906136285368558e-05","",""
"HIGH_PROPENSITY_MIN_BURDEN","static","mean_expected_reward","0.024176395748944122","","0.015985002700694563","","0.2254726368159204","0.010073439797621077","","0.001553957521269033","",""
"EQUITY_PRIORITY_MIN_BURDEN","static","mean_expected_reward","0.023636968477388824","","0.017448977238083422","","0.4600995024875622","0.01006455431563359","","0.03055090962417046","",""
"ERRAND_SHOP_ADL","static","mean_expected_reward","0.022130538158874443","","0.018436510317325742","","0.48776119402985074","0.017301830283914063","","-0.0014356377538781544","",""
"HIGHEST_OPPORTUNITY","static","mean_expected_reward","0.014752688823430705","","0.012823941629798274","","0.3008955223880597","0.05087263850166128","","-0.0012733835119550247","",""
"WORK_SCHOOL_ADL","static","mean_expected_reward","0.014070146968446514","","0.01303757964361796","","0.30208955223880596","0.04937569713767357","","-0.0011046000507696392","",""
"TRANSIT_ADL","static","mean_expected_reward","0.010624955606373016","","0.011586347596218023","","0.2511442786069652","0.08585195096556607","","0.0052077108622810425","",""
"HOME_ZONE_ADL","static","mean_expected_reward","0.0003101477180520669","","0.0007681198799380427","","0.007960199004975124","0.4135963801716387","","-0.000563326322267558","",""
"HOME_ONLY","static","mean_expected_reward","0.0","","0.0","","0.0","0.0","","0.0","",""
"ConstrainedLinUCB_b0.45","online_bandit","mean_expected_reward_chosen","0.022242244801682767","0.02236522503662432","0.024147440437441204","0.024212935323383086","0.64589452736318431","","0.04466311869333051","","0.001908389047430415","83.30763101258502"
"LinUCB_alpha0.75","online_bandit","mean_expected_reward_chosen","0.01859221306858463","0.018653839889310617","0.024462847466714625","0.02451144278606965","0.6775880597014925","","0.05099434438152658","","0.0013585778151450725","101.64904047140315"
"EpsilonGreedyLinear_eps0.1","online_bandit","mean_expected_reward_chosen","0.015347542336440517","0.015545091272916145","0.016771512125650666","0.01688955223880597","0.424312437810945","","0.04235405786791699","","0.00098063817230814","117.95351090042732"
"LinearTS_v0.3","online_bandit","mean_expected_reward_chosen","-0.006191890838468808","-0.006120781069208245","0.02201752289190306","0.02205373134328358","0.74409950248756218","","0.09710942183002544","","0.0014102767245769909","226.18916260434668"
