model,n,positive_rate,roc_auc,pr_auc,brier,log_loss,feature_set,algorithm
M1_core_opportunity__random_forest_balanced,5025,0.031243781094527363,0.729422355274796,0.1258552036256742,0.04456057880258661,0.19765346215905272,M1_core_opportunity,random_forest_balanced
M2_full_policy_context__extra_trees_balanced,5025,0.031243781094527363,0.7322904291119963,0.11593546872904961,0.04809418465993254,0.20344909323698757,M2_full_policy_context,extra_trees_balanced
M1_core_opportunity__extra_trees_balanced,5025,0.031243781094527363,0.7049894279030089,0.11338158157966285,0.05001149773811376,0.2129843027450275,M1_core_opportunity,extra_trees_balanced
M2_full_policy_context__random_forest_balanced,5025,0.031243781094527363,0.7366239421360871,0.10525172776138973,0.04153221932130595,0.18464414264073542,M2_full_policy_context,random_forest_balanced
M0_core_behavior__random_forest_balanced,5025,0.031243781094527363,0.715571338102989,0.10000341027970676,0.04729985778478942,0.2051635502376083,M0_core_behavior,random_forest_balanced
M1_core_opportunity__gradient_boosting,5025,0.031243781094527363,0.7347731709487149,0.09347940992643883,0.03520869982996115,0.13803240184515797,M1_core_opportunity,gradient_boosting
M0_core_behavior__extra_trees_balanced,5025,0.031243781094527363,0.6882474394067064,0.08974547933804052,0.05133345267983953,0.21199235308112943,M0_core_behavior,extra_trees_balanced
M2_full_policy_context__gradient_boosting,5025,0.031243781094527363,0.7317153750739263,0.08775205577751462,0.03605817883662743,0.14098632702746167,M2_full_policy_context,gradient_boosting
M0_core_behavior__gradient_boosting,5025,0.031243781094527363,0.7229129267437419,0.08742567070043482,0.03544518935237392,0.13807559912819806,M0_core_behavior,gradient_boosting
M1_core_opportunity__logit_balanced,5025,0.031243781094527363,0.6803680869214785,0.07964074059733595,0.1808887726423574,0.5507538244617157,M1_core_opportunity,logit_balanced
M2_full_policy_context__logit_balanced,5025,0.031243781094527363,0.6843169221590106,0.07838980066364112,0.1795822461902307,0.5505266038596119,M2_full_policy_context,logit_balanced
M0_core_behavior__logit_balanced,5025,0.031243781094527363,0.6778375874684015,0.07640493203473159,0.18079601689443633,0.5529912783963272,M0_core_behavior,logit_balanced
